prior	after smooth	after rf
-4.482850481	-1.066118185	-0.807209812
-5.523268757	-0.941803803	0.305534096
-3.783085488	-0.980570308	-0.081465505
-2.239260976	-0.005091594	-0.641908402
-4.696967184	0.689942364	0.143523969
-3.75281751	0.704572212	0.100602373
-3.892140401	-0.538518583	-0.450967663
-2.988856604	0.312916338	-0.541422962
-2.948184275	0.094534168	-0.527410048
-0.83618229	-0.949338086	-0.570612416
-2.354869111	0.488793027	-0.045824346
-3.120223023	0.223949928	-0.889664098
-4.329440413	0.643307455	0.230236352
-3.436356407	-0.520953604	-0.066222916
-3.675461205	0.017188031	-0.558610993
-3.832806504	-0.208851603	0.335654362
-4.100021868	0.221248519	0.216331885
-5.401507148	-0.409217533	-0.916190062
-4.985527058	-0.568181514	0.461458069
-4.206409051	0.38957319	0.108901457
-1.720753371	0.181612994	0.159661143
-3.924749093	0.672819746	-0.556946516
-3.920782131	-0.735589426	0.244661726
-3.630529349	0.478098689	0.325482047
4.758626605	0.134481616	-0.145945916
-4.292486755	0.18266687	0.125805383
-4.253164223	0.430183601	0.067216188
-3.359863575	0.484167284	0.185246613
-3.254586539	0.101172928	-0.122250622
-5.05726865	-0.372109963	-0.598202092
-3.403537868	0.229477622	-0.020398011
-4.826416229	-0.306480294	-0.256001187
-4.47076492	0.18877322	-0.102666137
-3.978118648	-0.983673722	0.217277328
-4.791385663	-0.062054507	0.230488167
-3.989247552	1.534869519	0.562962523
-3.498804104	-0.007489979	0.441908772
-2.120339575	-0.370200212	-0.174391835
-4.088237708	-0.297805385	0.554152833
-4.61247096	0.464290212	0.379825889
-4.703583016	-0.253217259	0.029954207
-3.745658695	-0.778809387	0.253217259
-3.382002511	-0.417063721	-0.1634342
-5.726615567	-0.158326882	0.184742352
-3.754955208	-0.03694847	0.870970066
-4.163933053	1.370407447	0.784129147
-4.843360717	0.263030663	-1.516364532
-5.155367705	-0.153618629	-0.039001024
-5.557633077	0.273007165	1.081988795
-3.220660481	1.135789343	-0.05241152
-3.670367692	-0.622244837	-0.450760039
-4.172655053	-1.15166254	-1.067136849
-4.201856802	-0.258393697	-0.010995476
-4.162144666	0.543516723	0.247053056
-4.632886758	0.34484497	0.668384356
-4.968076904	-0.730559645	0.168682583
-3.57371705	0.490356346	0.404053629
-4.870835248	-0.553121958	-0.087196555
-1.253607885	-0.642500934	0.625231092
-3.57371705	0.485319239	-0.053371169
-3.908415926	-0.053371169	0.39483323
-4.451225158	0.224431521	0.196142538
-4.525587999	0.533507705	-0.733573094
-4.106032854	-0.447204988	0.417790745
-3.23801291	-0.880993528	0.07576751
-5.670099189	0.45897354	-0.094148418
-4.811715797	1.136512643	-0.202895909
-4.668651898	0.835567214	-0.004768797
-4.239460201	0.687062724	-0.915608952
-3.810268505	0.384434353	-1.125436004
-4.239460201	2.642297661	-2.441623873
-3.414617205	-0.128757509	-0.233671035
-3.125155613	-0.171676679	-0.209827052
-3.810268505	-0.882227376	-1.049135258
-3.75055332	-0.176445475	-0.106556793
-4.3825241	-0.171676679	-0.356130297
-3.622528265	0.391041323	0.216516846
-4.3825241	-0.577024392	0.034440555
-3.387254309	-0.024590029	0.182792121
-4.17496788	-0.955928693	0.39581012
-4.10671287	0.605445256	0.655260763
-1.360368004	0.075760128	-0.596099578
-2.702799201	0.237257155	0.797123155
-5.651319909	0.501204202	0.415277165
-5.236233624	0.538874019	0.38350626
-3.412860852	0.199112387	-0.357321392
-4.811715797	-0.45303568	1.031804545
-1.788809133	0.655226887	-0.058756504
-1.807373922	-0.101013364	-0.065822362
-4.026116079	0.023969141	-0.471308893
-5.006917991	1.959852208	-0.038150373
-4.811715797	0.411295531	0.796477059
-3.870118426	-1.438688762	-0.095375933
-2.876547465	-0.139343499	-0.281334905
-4.840923199	-0.772545054	-0.224851583
-4.66133131	1.279586095	-0.28912542
-3.4999073	1.869368278	-0.049907741
-2.930071686	-0.18109281	-0.477551825
-2.544562648	0.498971341	-0.40786649
-4.58093698	0.021212414	-0.29063704
-3.4999073	-1.009644324	-0.113762672
-4.458957612	-0.036296538	0.80906948
-3.323076831	0.123601649	-0.577255449
-3.274761647	-0.564738216	0.606148918
-3.699544893	-0.663015748	0.053390874
-4.260591736	0.011768552	1.386326918
-1.09604768	0.10908802	0.048033962
-3.48908774	-0.560604176	0.289420179
-1.29172499	0.122724022	0.392367755
-4.622252308	0.043667238	0.541089899
-4.682687783	0.332003485	-0.109612877
-3.896106844	0.36911559	-0.912685991
-3.369258663	-0.101493404	0.186868059
-4.425732401	-0.951881095	0.868978041
-3.987560418	-0.234919845	0.553394961
-3.883906221	2.484665856	0.393773715
-2.453289191	0.020246157	0.316333917
-4.086858709	3.209071769	0.350593053
-4.811715797	-0.505189987	1.215785553
-4.109087119	0.196094419	0.660805716
-3.705354979	-0.677464684	0.11474994
-4.344039176	0.074587461	0.601819334
-4.076424705	-0.434302613	0.370049208
-5.34932242	0.804057538	0.062665981
-2.771253195	0.190751865	-0.290896594
-3.514603114	-0.553180409	-0.114451119
-3.725793971	-0.332119573	-0.648423929
-4.758911754	0.096067924	-0.331871011
-4.277610574	-0.357659747	-0.743932274
-3.991482777	-0.104048843	-1.973676482
-3.758781221	-0.508229574	1.233515527
-3.837424408	-0.71291063	-1.12171253
-3.982117657	0.061735839	0.089173989
-3.127941707	0.810695426	0.147832695
-4.468362439	-0.142614123	0.106960592
-5.040618034	-0.888478274	-0.127718752
-3.237687177	-0.293100787	-0.887798037
-4.754990156	0.009537593	-0.05722556
-3.386808589	0.324278171	-0.104913526
-3.816717043	-0.348345993	-0.324278171
-4.563235913	-0.029940734	0.674218051
-4.224731572	0.157711346	0.274456731
-4.532177435	0.590160701	0
-3.580762578	-0.164429736	0.307375365
-4.539344344	0.193857731	-0.25087471
-3.919993159	-0.129468014	0
-3.910895164	-0.58822963	0.00891257
-4.381327447	1.087314232	0.794743736
-4.099056706	-0.443574813	-0.953759325
-3.514603114	-0.414180157	0.360959091
-4.591010873	0.672400324	-0.733859012
-3.953332404	-0.126527416	-0.571176977
-3.865102317	-0.346167865	-0.882227376
-0.834044251	0.457804476	-0.321152816
-3.454078545	-0.0281713	1.537086786
-3.798515583	3.078540296	0.318770839
0.20060057	0.602607888	-0.05251404
